index,binder_name,page_number,slot_number,card_id,card_name,card_number,set_id,set_name,card_market_value
1-1-1,1,1,1,base1-1,,,,Base,56.53
1-1-2,1,1,2,base1-2,,,,Base,155.97
1-1-3,1,1,3,base1-3,,,,Base,30.64
1-1-4,1,1,4,base1-4,,,,Base,457.11
1-1-5,1,1,5,base1-5,,,,Base,25.87
1-1-6,1,1,6,base1-6,,,,Base,32.99
1-1-7,1,1,7,base1-7,,,,Base,18.56
1-1-8,1,1,8,base1-8,,,,Base,0.0
1-1-9,1,1,9,base1-9,,,,Base,20.8
1-2-1,1,2,1,base1-10,,,,Base,35.77
1-2-2,1,2,2,base1-11,,,,Base,27.78
1-2-3,1,2,3,base1-12,,,,Base,23.3
1-2-4,1,2,4,base1-13,,,,Base,21.86
1-2-5,1,2,5,base1-14,,,,Base,44.92
1-2-6,1,2,6,base1-15,,,,Base,113.99
1-2-7,1,2,7,base1-16,,,,Base,38.51
1-2-8,1,2,8,base1-17,,,,Base,3.7
1-2-9,1,2,9,base1-18,,,,Base,15.28
1-3-1,1,3,1,base1-19,,,,Base,6.68
1-3-2,1,3,2,base1-20,,,,Base,7.25
1-3-3,1,3,3,base1-21,,,,Base,6.26
1-3-4,1,3,4,base1-22,,,,Base,8.49
1-3-5,1,3,5,base1-23,,,,Base,3.33
1-3-6,1,3,6,base1-24,,,,Base,1.65
1-3-7,1,3,7,base1-25,,,,Base,2.34
1-3-8,1,3,8,base1-26,,,,Base,2.16
1-3-9,1,3,9,base1-27,,,,Base,1.29
1-4-1,1,4,1,base1-28,,,,Base,1.19
1-4-2,1,4,2,base1-29,,,,Base,1.49
1-4-3,1,4,3,base1-30,,,,Base,2.28
1-4-4,1,4,4,base1-31,,,,Base,0.8
1-4-5,1,4,5,base1-32,,,,Base,1.5
1-4-6,1,4,6,base1-33,,,,Base,1.07
1-4-7,1,4,7,base1-34,,,,Base,0.68
1-4-8,1,4,8,base1-35,,,,Base,2.34
1-4-9,1,4,9,base1-36,,,,Base,2.86
1-5-1,1,5,1,base1-37,,,,Base,1.88
1-5-2,1,5,2,base1-38,,,,Base,1.65
1-5-3,1,5,3,base1-39,,,,Base,2.47
1-5-4,1,5,4,base1-40,,,,Base,2.11
1-5-5,1,5,5,base1-41,,,,Base,1.08
1-5-6,1,5,6,base1-42,,,,Base,2.61
1-5-7,1,5,7,base1-43,,,,Base,0.61
1-5-8,1,5,8,base1-44,,,,Base,2.04
1-5-9,1,5,9,base1-45,,,,Base,1.09
1-6-1,1,6,1,base1-46,,,,Base,1.59
1-6-2,1,6,2,base1-47,,,,Base,0.55
1-6-3,1,6,3,base1-48,,,,Base,1.33
1-6-4,1,6,4,base1-49,,,,Base,0.53
1-6-5,1,6,5,base1-50,,,,Base,0.71
1-6-6,1,6,6,base1-51,,,,Base,0.5
1-6-7,1,6,7,base1-52,,,,Base,0.35
1-6-8,1,6,8,base1-53,,,,Base,0.55
1-6-9,1,6,9,base1-54,,,,Base,0.78
1-7-1,1,7,1,base1-55,,,,Base,0.48
1-7-2,1,7,2,base1-56,,,,Base,0.66
1-7-3,1,7,3,base1-57,,,,Base,1.21
1-7-4,1,7,4,base1-58,,,,Base,3.07
1-7-5,1,7,5,base1-59,,,,Base,0.49
1-7-6,1,7,6,base1-60,,,,Base,0.35
1-7-7,1,7,7,base1-61,,,,Base,0.6
1-7-8,1,7,8,base1-62,,,,Base,0.66
1-7-9,1,7,9,base1-63,,,,Base,2.9
1-8-1,1,8,1,base1-64,,,,Base,0.51
1-8-2,1,8,2,base1-65,,,,Base,0.35
